"","docname","from","to","pre","keyword","post","pattern"
"31","ikem_00055.txt",680,680,"wissenschaftlicher Ebene zum","Klimaschutz","beizutragen . Da","klimaschutz*"
"32","fff_de_00137.txt",803,803,"wichtig für den","Klimaschutz",", sondern machen","klimaschutz*"
"33","ikem_01269.txt",1203,1203,"des Instituts für","Klimaschutz","Ener- gie und","klimaschutz*"
"34","ikem_01269.txt",1425,1425,"des Instituts für","Klimaschutz","Ener- gie und","klimaschutz*"
"35","ikem_01269.txt",2908,2908,"Auch in Sachen","Klimaschutz","bleibt er hinter","klimaschutz*"
"36","ikem_01269.txt",2945,2945,"außerdem an unseren","Klimaschutzzielen","orientiert . }","klimaschutz*"
"37","ikem_01269.txt",3022,3022,"Auch in Sachen","Klimaschutz","bleibt er hinter","klimaschutz*"
"38","ikem_01269.txt",3059,3059,"außerdem an unseren","Klimaschutzzielen","orientiert . @phdthesis","klimaschutz*"
"39","ikem_01269.txt",3923,3923,"title = {","Klimaschutzrelevante","Emissionsabgaben in der","klimaschutz*"
"40","ikem_01269.txt",3947,3947,"url = {","http://www.ebook.de/de/product/7100442/janine_rechel_klimaschutzrelevante_emissionsabgaben_in_der_russischen_foederation.html","} , isbn","klimaschutz*"
"41","ikem_01269.txt",5503,5503,"% C3 %","A4re-studien-zu-klimaschutz",", -energie-und-mobilit %","klimaschutz*"
"42","ikem_00331.txt",619,619,"2019 aber das","Klimaschutzprogramm","2030 und dessen","klimaschutz*"
"43","ikem_00331.txt",646,646,"erneuerbarer Energien .","Klimaschutzbemühungen","habe es auch","klimaschutz*"
"44","ikem_00331.txt",788,788,"2019 aber das","Klimaschutzprogramm","2030 und dessen","klimaschutz*"
"45","ikem_00331.txt",815,815,"erneuerbarer Energien .","Klimaschutzbemühungen","habe es auch","klimaschutz*"
"46","ikem_00189.txt",67,67,"- Institut für","Klimaschutz",", Energie und","klimaschutz*"
"47","fff_de_00375.txt",228,228,"23-26 weiterlesen Fehlender","Klimaschutz","verstößt gegen Grundrechte","klimaschutz*"
"48","fff_de_00375.txt",273,273,"Shell zu mehr","Klimaschutz",". Doch obwohl","klimaschutz*"
"49","fff_de_00375.txt",277,277,". Doch obwohl","Klimaschutz","Grundrechte schützt und","klimaschutz*"
"50","kf_00023.txt",424,424,"die Notwendigkeit für","Klimaschutz",", empfinden die","klimaschutz*"
"51","fff_de_00234.txt",410,410,"dieser Stellungnahme :","Klimaschutz","! Sie fordern","klimaschutz*"
"52","fff_de_00234.txt",415,415,"Sie fordern konkrete","Klimaschutz-Maßnahmen",", unter anderem","klimaschutz*"
"53","ikem_01068.txt",143,143,"unter Umwelt- und","Klimaschutzaspekten",". Außerdem untersucht","klimaschutz*"
"54","ikem_00696.txt",90,90,"weiteren Schritte beim","Klimaschutz",". So einigten","klimaschutz*"
"55","ikem_00696.txt",165,165,"für noch ambitioniertere","Klimaschutzbemühungen","freizumachen wurde bereits","klimaschutz*"
"56","ikem_00696.txt",198,198,"Gesamtwirkung der nationalen","Klimaschutzbeiträge","beurteilen sollen .","klimaschutz*"
"57","ikem_00696.txt",250,250,"der Mittel für","Klimaschutzmaßnahmen","sowie Maßnahmen zur","klimaschutz*"
"58","ikem_00582.txt",587,587,"Das Institut für","Klimaschutz",", Energie und","klimaschutz*"
"59","ikem_00582.txt",622,622,"den Wechselwirkungen zwischen","Klimaschutz",", Recht ,","klimaschutz*"
"60","gerzero_00037.txt",16,16,"Geschäftsführer der deutschen","Klimaschutzorganisation",", als Klimaschutzbekenntnis","klimaschutz*"
"61","gerzero_00037.txt",19,19,"Klimaschutzorganisation , als","Klimaschutzbekenntnis","der Partei .","klimaschutz*"
"62","gerzero_00037.txt",80,80,"Signal für den","Klimaschutz","aussendet . Wir","klimaschutz*"
"63","gerzero_00037.txt",109,109,"und sozial gerechten","Klimaschutz","vorantreiben will .","klimaschutz*"
"64","gerzero_00037.txt",121,121,"bieten als überparteiliche","Klimaschutzorganisation","selbstverständlich auch der","klimaschutz*"
"65","fff_de_00500.txt",201,201,"dass du effektive","Klimaschutzmaßnahmen","von der Politik","klimaschutz*"
"66","fff_de_00295.txt",56,56,"für einen konsequenten","Klimaschutz","zu demonstrieren .","klimaschutz*"
"67","fff_de_00144.txt",317,317,"immer noch beim","Klimaschutz","blockieren würde .","klimaschutz*"
"68","fff_de_00144.txt",449,449,"Einhaltung des Pariser","Klimaschutzabkommens","viel zu spät","klimaschutz*"
"69","fff_de_00144.txt",968,968,"nicht an ein","Klimaschutzabkommen","halten würde ,","klimaschutz*"
"70","fff_de_00144.txt",1178,1178,"der Zivilgesellschaft .","Klimaschutzmaßnahmen",", die nicht","klimaschutz*"
"71","fff_de_00144.txt",1314,1314,"ist , konsequenten","Klimaschutz","zu betreiben ,","klimaschutz*"
"72","fff_de_00144.txt",1581,1581,"ALLE . MEHR","KLIMASCHUTZ",". JETZT !","klimaschutz*"
"73","fff_de_00144.txt",10391,10391,"Einhaltung der Pariser","Klimaschutzziele",". Dies ist","klimaschutz*"
"74","fff_de_00144.txt",10494,10494,"Klimawandel und dringender","Klimaschutz",""" dauerhaft auf","klimaschutz*"
"75","kr_00019.txt",4,4,"Kommentar Nach Merkel","Klimaschutz","2.0 Endzeit-Stimmung in","klimaschutz*"
"76","kr_00019.txt",20,20,", dass beim","Klimaschutz","die Zeit drängt","klimaschutz*"
"77","kr_00019.txt",145,145,"mit dem neuen","Klimaschutzgesetz","und einer Reihe","klimaschutz*"
"78","kr_00019.txt",491,491,". Das neue","Klimaschutzgesetz",", das einen","klimaschutz*"
"79","kr_00019.txt",738,738,". Gut gemachter","Klimaschutz","schafft unter dem","klimaschutz*"
"80","kr_00019.txt",822,822,"Die Idee :","Klimaschutz","würde zuerst mit","klimaschutz*"
"81","fff_de_00050.txt",68,68,"Wie Städte beim","Klimaschutz","vorangehen weiterlesen Ende","klimaschutz*"
"82","fff_de_00050.txt",507,507,"andere Mal mehr","Klimaschutz",", bekennt sich","klimaschutz*"
"83","ikem_00782.txt",617,617,"des Instituts für","Klimaschutz","Ener- gie und","klimaschutz*"
"84","ikem_00782.txt",839,839,"des Instituts für","Klimaschutz","Ener- gie und","klimaschutz*"
"85","kr_00081.txt",70,70,"Folgen für den","Klimaschutz",", falls der","klimaschutz*"
"86","kr_00081.txt",297,297,"will Ölscheich werden","Klimaschutz","und künstliche Lebewesen","klimaschutz*"
"87","ikem_00874.txt",31,31,"Deutschland für besseren","Klimaschutz","zu demonstrieren .","klimaschutz*"
"88","ikem_00874.txt",172,172,"das Institut für","Klimaschutz",", Energie und","klimaschutz*"
"89","ikem_00874.txt",530,530,"- Institut für","Klimaschutz",", Energie und","klimaschutz*"
"90","ikem_00874.txt",585,585,"zwischen Regulatorik ,","Klimaschutz","und Ökonomie liegt","klimaschutz*"
"91","fff_de_00036.txt",77,77,"der Umsetzung von","Klimaschutzmaßnahmen",", beispielsweise bei","klimaschutz*"
"92","fff_de_00036.txt",839,839,", dass wirklicher","Klimaschutz","im Einklang mit","klimaschutz*"
"93","fff_de_00036.txt",1484,1484,"der Priorisierung von","Klimaschutz","profitieren Eine repräsentative","klimaschutz*"
"94","kf_00030.txt",22,22,"Mit welchen Sätzen","Klimaschutz","( aus )","klimaschutz*"
"95","kf_00030.txt",59,59,"immer wieder stärkerer","Klimaschutz","aufgeschoben oder blockiert","klimaschutz*"
"96","kf_00030.txt",262,262,"Verschärfung der weltweiten","Klimaschutz-Ziele","- und die","klimaschutz*"
"97","kr_00056.txt",377,377,"den Maßnahmen zum","Klimaschutz",""" , sagt","klimaschutz*"
"98","ikem_00681.txt",126,126,"Partizipationsprozessen sowie kommunalen","Klimaschutzmaßnahmen","und deren Finanzierung","klimaschutz*"
"99","fff_de_00439.txt",350,350,"solidarisieren . Unser","Klimaschutzbündnis","wächst und wächst","klimaschutz*"
"100","ikem_01304.txt",27,27,"- Institut für","Klimaschutz",", Energie und","klimaschutz*"
"101","ikem_01304.txt",118,118,"den Wechselwirkungen zwischen","Klimaschutz",", Recht ,","klimaschutz*"
"102","ikem_01304.txt",253,253,"des Energie- ,","Klimaschutz-","und allgemeinen Umweltrechts","klimaschutz*"
"103","fff_de_00320.txt",316,316,"beeinflussen . Der","Klimaschutzbeirat","ist immer gut","klimaschutz*"
"104","fff_de_00320.txt",491,491,"hat in Sachen","Klimaschutz","tatsächlich einender guten","klimaschutz*"
"105","gerzero_00013.txt",3,3,"Die deutsche","Klimaschutzorganisation","GermanZero e.V .","klimaschutz*"
"106","gerzero_00013.txt",188,188,"umfasst . „","Klimaschutz","ist eine gesamtgesellschaftliche","klimaschutz*"
"107","gerzero_00013.txt",408,408,"gedacht , um","Klimaschutz","zum Staatsziel zu","klimaschutz*"
"108","gerzero_00013.txt",427,427,"Strategie , den","Klimaschutz","fast ausschließlich in","klimaschutz*"
"109","ikem_01361.txt",79,79,"ehrgeizigen Energie- und","Klimaschutzziele","zu erreichen .","klimaschutz*"
"110","ikem_01361.txt",850,850,"EUKI-Akademie der Europäischen","Klimaschutzinitiative","und wurde als","klimaschutz*"
"111","ikem_01361.txt",2191,2191,"die Erreichung von","Klimaschutz-","und Anpassungszielen unerlässlich","klimaschutz*"
"112","fff_de_00308.txt",47,47,"Nummer eins den","Klimaschutz","setzten . Die","klimaschutz*"
"113","fff_de_00308.txt",110,110,"Menschheit und mehr","Klimaschutz","zu streiken und","klimaschutz*"
"114","fff_de_00308.txt",256,256,"gesagt hatte ,","Klimaschutz","sei etwas für","klimaschutz*"
"115","fff_de_00308.txt",1053,1053,"dass Umwelt- und","Klimaschutz","stärker in andere","klimaschutz*"
"116","fff_de_00308.txt",1085,1085,". Umwelt- und","Klimaschutz","soll in diesen","klimaschutz*"
"117","fff_de_00308.txt",1133,1133,"CSU zeigt :","https://www.tagesschau.de/inland/klimaschutzgesetz-schulze-streit-101.html","https://www.tagesschau.de/inland/umweltbewusstsein-studie-101.html Bitte weiter","klimaschutz*"
"118","fff_de_00308.txt",2647,2647,"den Umwelt und","Klimaschutz","einsetzt . Warum","klimaschutz*"
"119","fff_de_00308.txt",2891,2891,"euch ! .","Klimaschutz","und Umweltschutz ist","klimaschutz*"
"120","fff_de_00308.txt",3187,3187,"zufrieden über die","Klimaschutzentwicklungen","in den letzten","klimaschutz*"
"121","fff_de_00154.txt",333,333,"Rheinland-Pfälzische Städte planen","Klimaschutz","🏡 Trier :","klimaschutz*"
"122","fff_de_00154.txt",448,448,"33 Maßnahmen zum","Klimaschutz","geplant . Unter","klimaschutz*"
"123","fff_de_00154.txt",1100,1100,". Zudem wird","Klimaschutz","als Kritik gegen","klimaschutz*"
"124","fff_de_00154.txt",1181,1181,"Recht die geforderten","Klimaschutzmaßnahmen",". Vieles von","klimaschutz*"
"125","fff_de_00154.txt",1292,1292,"dringenden , sofortigen","Klimaschutz","fordert , und","klimaschutz*"
"126","fff_de_00154.txt",1402,1402,"immer noch beim","Klimaschutz","blockieren würde .","klimaschutz*"
"127","fff_de_00154.txt",2265,2265,". Den entsprechenden","Klimaschutz-Bewegungen","unterstellt man einen","klimaschutz*"
"128","fff_de_00154.txt",2848,2848,"im Zusammenhang mit","Klimaschutz","gehört , merkwürdig","klimaschutz*"
"129","fff_de_00154.txt",2979,2979,"eine Aussetzung notwendiger","Klimaschutzmaßnahmen",", wie ja","klimaschutz*"
"130","fff_de_00154.txt",3147,3147,"man sich verschärfte","Klimaschutzziele","setzen will und","klimaschutz*"
"131","fff_de_00154.txt",3899,3899,"was die effektivsten","Klimaschutzmaßnahmen","betrifft und auch","klimaschutz*"
"132","fff_de_00154.txt",4252,4252,"beim ZDF :","https://www.zdf.de/nachrichten/heute/fragen-und-antworten-zum-klimaschutz-in-deutschland-100.html","„ Klimaschutz überraschend","klimaschutz*"
"133","fff_de_00154.txt",4254,4254,": https://www.zdf.de/nachrichten/heute/fragen-und-antworten-zum-klimaschutz-in-deutschland-100.html „","Klimaschutz","überraschend erfolgreich :","klimaschutz*"
"134","fff_de_00154.txt",4267,4267,"lassen an Deutschlands","Klimaschutz","kein gutes Haar","klimaschutz*"
"135","fff_de_00154.txt",4862,4862,"dem Fortschritt im","Klimaschutz","zu tun :","klimaschutz*"
"136","ikem_00865.txt",455,455,"dem Instituts für","Klimaschutz",", Energie und","klimaschutz*"
"137","ikem_00865.txt",655,655,"dem Instituts für","Klimaschutz",", Energie und","klimaschutz*"
"138","fff_de_00171.txt",8,8,"genug für den","Klimaschutz","? Nein .","klimaschutz*"
"139","fff_de_00171.txt",25,25,"der aktuellen weltweiten","Klimaschutzziele","eine Erwärmung um","klimaschutz*"
"140","fff_de_00171.txt",110,110,"völligen Stillstand im","Klimaschutz","zu verhindern .","klimaschutz*"
"141","fff_de_00171.txt",700,700,"zum Erreichen der","Klimaschutzziele","zu leisten .","klimaschutz*"
"142","fff_de_00171.txt",1826,1826,"als heute umgesetzte","Klimaschutzmaßnahmen","und der Wirtschaft","klimaschutz*"
"143","fff_de_00171.txt",2017,2017,"wenig ambitioniert im","Klimaschutz",". Andere Länder","klimaschutz*"
"144","fff_de_00496.txt",151,151,"anderem das Thema","Klimaschutz","hitzig diskutiert .","klimaschutz*"
"145","fff_de_00496.txt",208,208,", er wolle","Klimaschutz","zur Chefsache machen","klimaschutz*"
"146","fff_de_00496.txt",242,242,"Merkel in Sachen","Klimaschutz","zurückhaltend - wofür","klimaschutz*"
"147","fff_de_00496.txt",410,410,", Artenschwund und","Klimaschutz","den Rahmen zu","klimaschutz*"
"148","fff_de_00496.txt",498,498,"Signal , den","Klimaschutz","auf die politische","klimaschutz*"
"149","fff_de_00496.txt",621,621,"für den globalen","Klimaschutz","setzen ! Weitere","klimaschutz*"
"150","fff_de_00496.txt",667,667,"zeigen , dass","Klimaschutz","ein globales und","klimaschutz*"
"151","ikem_00414.txt",4,4,"Das Institut für","Klimaschutz",", Energie und","klimaschutz*"
"152","ikem_00414.txt",33,33,"Das Institut für","Klimaschutz",", Energie und","klimaschutz*"
"153","ikem_00414.txt",88,88,", Fragen des","Klimaschutzes","sowie die Zukunftsfähigkeit","klimaschutz*"
"154","fff_de_00484.txt",116,116,"sei in Sachen","Klimaschutz",", trotz Pariser","klimaschutz*"
"155","fff_de_00484.txt",120,120,", trotz Pariser","Klimaschutzabkommen",", nicht wirklich","klimaschutz*"
"156","fff_de_00484.txt",627,627,"zeigen , dass","Klimaschutz","ein globales und","klimaschutz*"
"157","kr_00055.txt",468,468,"Politik verschleppt den","Klimaschutz",". Gerade vor","klimaschutz*"
"158","kr_00055.txt",484,484,"keine Partei konsequenten","Klimaschutz","im Programm hat","klimaschutz*"
"159","ikem_00234.txt",4,4,"Gütesiegel klimaneutral :","Klimaschutzgesetz","soll Kompensationszertifikate in","klimaschutz*"
"160","ikem_00234.txt",26,26,"Im Rahmen der","Klimaschutzgesetzgebung","sollten Standards für","klimaschutz*"
"161","ikem_00234.txt",46,46,"- Institut für","Klimaschutz",", Energie und","klimaschutz*"
"162","ikem_00234.txt",70,70,"senken . Ein","Klimaschutzgesetz","soll es richten","klimaschutz*"
"163","ikem_00234.txt",194,194,"in Deutschland etwa","Klimaschutzprojekte","in Ruanda finanziert","klimaschutz*"
"164","ikem_00234.txt",282,282,"Gesetzesentwurf für das","Klimaschutzgesetz","sieht keine Vereinheitlichung","klimaschutz*"
"165","fff_de_00506.txt",40,40,"eine große Portion","Klimaschutz","auszubremsen zeichnen ein","klimaschutz*"
"166","fff_de_00506.txt",54,54,", der für","Klimaschutz","wenig übrig hat","klimaschutz*"
"167","fff_de_00506.txt",362,362,"Wie Städte beim","Klimaschutz","vorangehen weiterlesen In","klimaschutz*"
"168","ikem_00160.txt",36,36,"Nationalen Wasserstoffstrategie unsere","Klimaschutzziele","erreichen werden oder","klimaschutz*"
"169","ikem_00160.txt",93,93,"IKEM Institut für","Klimaschutz",", Energie und","klimaschutz*"
"170","fff_de_00041.txt",26,26,"❌ Lufthansa-Rettung :","Klimaschutz","bleibt auf der","klimaschutz*"
"171","fff_de_00041.txt",124,124,"Kritik , der","Klimaschutz",". Dabei macht","klimaschutz*"
"172","fff_de_00041.txt",394,394,"das Bewusstsein für","Klimaschutz","so groß .","klimaschutz*"
"173","fff_de_00041.txt",492,492,"Gelände #SystemChangeNotClimateChange Das","Klimaschutzbündnis","Ende Gelände wurde","klimaschutz*"
"174","fff_de_00041.txt",957,957,"Mitgliedstaaten dringend ambitioniertere","Klimaschutzziele","zusagen - und","klimaschutz*"
"175","fff_de_00041.txt",1044,1044,"essenziell , dass","Klimaschutz","in den Konjukturmaßnahmen","klimaschutz*"
"176","kr_00051.txt",343,343,"darum , den","Klimaschutz","mit einem Turbo","klimaschutz*"
"177","kr_00051.txt",673,673,": Maßnahmen zum","Klimaschutz","seien nun ""","klimaschutz*"
"178","kr_00051.txt",756,756,"das Original-Copyright beim","Klimaschutz",", sie werden","klimaschutz*"
"179","kr_00051.txt",814,814,"der nur angetäuschte","Klimaschutz","à la Merkel","klimaschutz*"
"180","ikem_01045.txt",27,27,"aus den Bereichen","Klimaschutz",", Energie und","klimaschutz*"
"181","ikem_01045.txt",53,53,"kommenden Bundesregierung ein","Klimaschutzgesetz","zu verabschieden ,","klimaschutz*"
"182","ikem_01045.txt",105,105,"autonome Fahrzeuge .","Klimaschutz","Zuletzt hatte die","klimaschutz*"
"183","ikem_01045.txt",281,281,"Dies könnte im","Klimaschutzgesetz","geregelt werden ,","klimaschutz*"
"184","ikem_01045.txt",296,296,"die Einhaltung der","Klimaschutzziele","2030 sowie die","klimaschutz*"
"185","ikem_01045.txt",341,341,"wie ambitioniert dieses","Klimaschutzgesetz","in der konkreten","klimaschutz*"
"186","ikem_01045.txt",356,356,"IKEM-Entwurf für ein","Klimaschutzgesetz",". Energieeffizienz ist","klimaschutz*"
"187","ikem_01045.txt",367,367,"Energiewende und des","Klimaschutzes",". Es ist","klimaschutz*"
"188","ikem_01045.txt",621,621,"für die deutsche","Klimaschutzpolitik","und daher zu","klimaschutz*"
"189","ikem_01045.txt",862,862,", um die","Klimaschutzziele","in den Sektoren","klimaschutz*"
"190","ikem_00805.txt",1406,1406,". Institut für","Klimaschutz",", Energie und","klimaschutz*"
"191","kf_00037.txt",42,42,"dazu bei ,","Klimaschutz","auf die politische","klimaschutz*"
"192","kf_00037.txt",84,84,"politischen Durchsetzung von","Klimaschutzmaßnahmen","führen oft zu","klimaschutz*"
"193","kf_00037.txt",278,278,"mit dem Bundesverband","Klimaschutz","( BVKS )","klimaschutz*"
"194","gerzero_00021.txt",144,144,"von GermanZero vorgeschlagenen","Klimaschutzmaßnahmen","stellen und wir","klimaschutz*"
"195","gerzero_00021.txt",296,296,"Bemühungen für mehr","Klimaschutz","unterstützt und gefördert","klimaschutz*"
"196","gerzero_00021.txt",820,820,"dass wir das","Klimaschutzvorhaben","vom GermanZero e.V","klimaschutz*"
"197","ikem_00605.txt",1369,1369,"und Rückwirkungen von","Klimaschutz","und Energiewende auf","klimaschutz*"
"198","fff_de_00323.txt",438,438,"zu #MadeItStay !","Klimaschutz","bedeutet vor allem","klimaschutz*"
"199","ikem_01219.txt",17,17,"des Instituts für","Klimaschutz",", Energie und","klimaschutz*"
"200","ikem_00381.txt",44,44,"zur Erreichung von","Klimaschutz-","und Energieeffizienzzielen leisten","klimaschutz*"
"201","ikem_00381.txt",69,69,"gegenwärtigen Stand des","Klimaschutzrechts","des Bundes analysiert","klimaschutz*"
"202","ikem_00381.txt",79,79,"für ein modernes","Klimaschutzrecht","konzipiert . Im","klimaschutz*"
"203","ikem_00381.txt",97,97,"zur Erreichung der","Klimaschutzziele","möglichst effektiv gestaltet","klimaschutz*"
"204","ikem_00381.txt",112,112,"rechtssicheren Ausgestaltung des","Klimaschutzplans","des Landes und","klimaschutz*"
"205","fff_de_00016.txt",159,159,"um für konsequenten","Klimaschutz","zu streiken .","klimaschutz*"
"206","fff_de_00016.txt",282,282,""" läuft der","Klimaschutz","alles andere als","klimaschutz*"
"207","ikem_00601.txt",4,4,"Das Institut für","Klimaschutz",", Energie und","klimaschutz*"
"208","ikem_00601.txt",38,38,"Das Institut für","Klimaschutz",", Energie und","klimaschutz*"
"209","ikem_00601.txt",83,83,"den Wechselwirkungen zwischen","Klimaschutz",", Recht ,","klimaschutz*"
"210","ikem_00601.txt",118,118,", Fragen des","Klimaschutzes","sowie die Zukunftsfähigkeit","klimaschutz*"
"211","ikem_01494.txt",20,20,"des Bundesverfassungsgerichts zum","Klimaschutzgesetz","stellt einen rechtlichen","klimaschutz*"
"212","ikem_00899.txt",25,25,"effizienterer Motoren zum","Klimaschutz","beitragen . Der","klimaschutz*"
"213","ikem_00899.txt",46,46,"dass Diesel-Pkw zum","Klimaschutz","im Straßenverkehr beitragen","klimaschutz*"
"214","gerzero_00039.txt",46,46,"sektorübergreifenden Maßnahmen der","Klimaschutzorganisation","GermanZero , die","klimaschutz*"
"215","fff_de_00398.txt",1109,1109,". Hier fängt","Klimaschutz","an ❗ Erhaltung","klimaschutz*"
"216","fff_de_00398.txt",2184,2184,"Zeitraum Umwelt- und","Klimaschutz",", sowie den","klimaschutz*"
"217","ikem_00484.txt",31,31,"zur Finanzierung der","2030-Klimaschutzziele",". Das IKEM","klimaschutz*"
"218","ikem_00026.txt",51,51,"das Institut für","Klimaschutz",", Energie und","klimaschutz*"
"219","ikem_00026.txt",1674,1674,"in den Bereichen","Klimaschutz","und Energie sowie","klimaschutz*"
"220","fff_de_00186.txt",737,737,"Bewusstsein für den","Klimaschutz","mit auf den","klimaschutz*"
"221","fff_de_00255.txt",54,54,"dass sie mehr","Klimaschutz","von unserer Bundesregierung","klimaschutz*"
"222","fff_de_00255.txt",87,87,"wollen endlich wirksamen","Klimaschutz","! Trotz kurzer","klimaschutz*"
"223","fff_de_00255.txt",168,168,"Demonstrationen für mehr","Klimaschutz","in über 2.400","klimaschutz*"
"224","fff_de_00255.txt",2502,2502,"Lieber 200 %","Klimaschutz",", als 0,1","klimaschutz*"
"225","ikem_00969.txt",11,11,"zur Finanzierung der","2030-Klimaschutzziele",". Die Revitalisierung","klimaschutz*"
"226","ikem_00969.txt",30,30,"Potentiale für den","Klimaschutz",". Das IKEM","klimaschutz*"
"227","ikem_00969.txt",63,63,"gegenwärtigen Stand des","Klimaschutzrechts","des Bundes analysiert","klimaschutz*"
"228","ikem_00969.txt",73,73,"für ein modernes","Klimaschutzrecht","konzipiert . Im","klimaschutz*"
"229","ikem_00969.txt",91,91,"zur Erreichung der","Klimaschutzziele","möglichst effektiv gestaltet","klimaschutz*"
"230","kr_00031.txt",383,383,"große Hoffnungen beim","Klimaschutz",". Diese dämpft","klimaschutz*"
"231","kr_00031.txt",538,538,"Wasserstoff Wer beim","Klimaschutz","auf "" grünen","klimaschutz*"
"232","fff_de_00076.txt",587,587,"hat dementsprechend mit","Klimaschutz","wenig zu tun","klimaschutz*"
"233","fff_de_00076.txt",774,774,"Gesellschaft und Wirtschaft","Klimaschutz","zwingend berücksichtigt werden","klimaschutz*"
"234","fff_de_00076.txt",1518,1518,"CDU steht für","Klimaschutz","- Armin Laschet","klimaschutz*"
"235","fff_de_00076.txt",1650,1650,"es mit dem","Klimaschutz","doch bitte nicht","klimaschutz*"
"236","fff_de_00076.txt",1761,1761,"für die Zukunftsaufgabe","Klimaschutz","aktuell gewappnet sind","klimaschutz*"
"237","fff_de_00076.txt",2281,2281,"Verbesserungen in Sachen","Klimaschutz","! Herzlichen Dank","klimaschutz*"
"238","fff_de_00082.txt",1678,1678,"sinnvollen , echten","Klimaschutz","reden . Vielleicht","klimaschutz*"
"239","ikem_01046.txt",77,77,"- Institut für","Klimaschutz",", Energie und","klimaschutz*"
"240","fff_de_00021.txt",9,9,"andere Mal mehr","Klimaschutz",", bekennt sich","klimaschutz*"
"241","fff_de_00021.txt",224,224,"den bisher beschlossenen","Klimaschutzmaßnahmen","würde die Bundesregierung","klimaschutz*"
"242","fff_de_00021.txt",1401,1401,"lasche Umwelt- und","Klimaschutzstandards","zu binden .","klimaschutz*"
"243","fff_de_00021.txt",1509,1509,"mit dem effektive","Klimaschutzmaßnahmen","finanziert werden könnten","klimaschutz*"
"244","fff_de_00010.txt",172,172,"um das Pariser","Klimaschutzabkommen","einzuhalten und andere","klimaschutz*"
"245","fff_de_00010.txt",438,438,"nicht mit Deutschlands","Klimaschutzzielen","vereinbaren . Stattdessen","klimaschutz*"
"246","ikem_01250.txt",630,630,". Sofortmaßnahmen für","Klimaschutz","in der Industrie","klimaschutz*"
