"","collocation","count","count_nested","length","lambda","z"
"127","zu wenig",12,0,2,4.45664366091106,11.0619651654839
"128","stehen erst",4,0,2,6.5166811954452,11.0411502048873
"129","darauf hin",4,0,2,7.94663066897495,11.0354466789239
"130","kein thema",5,0,2,5.52108051765041,11.0202537633244
"131","dieser woche",6,0,2,4.97109780828661,11.0070839967403
"132","zu tun",12,0,2,4.01177220264897,10.9759550713644
"133","per e-mail",4,0,2,8.92904227413033,10.9758607397916
"134","der EU",24,0,2,2.7575879513376,10.9725528184914
"135","35 extremwetter",4,0,2,8.78591522435218,10.9712908075816
"136","teil 1",7,0,2,8.26309668851966,10.9711606113186
"137","teil 2",7,0,2,8.26309668851966,10.9711606113186
"138","letzten tage",4,0,2,6.68822361798433,10.966422511187
"139","erdgas mehr",7,0,2,5.07151145660072,10.9379892937827
"140","mehr klimaschutz",11,0,2,3.53577290749733,10.9116404791558
"141","klimakrise ändern",4,0,2,6.45360460345428,10.8812869760976
"142","wahrscheinlicher geworden",4,0,2,9.29681946447041,10.8797261333098
"143","dieser daten",7,0,2,4.46287997615405,10.8782362448456
"144","große koalition",4,0,2,7.02428056819682,10.856190364905
"145","rund um",6,0,2,5.25042599887938,10.8536618634351
"146","globalen süden",6,0,2,8.39108056080442,10.8480651862523
"147","politik sicher",4,0,2,7.28036079439159,10.8459548095285
"148","alle bereiche",6,0,2,7.32801566905897,10.7917672917607
"149","gab es",12,0,2,6.57308879886365,10.791261173682
"150","anpassung an",8,0,2,5.96029754421389,10.7731275500819
"151","in berlin",14,0,2,3.69843050590837,10.707909185951
"152","ist vor",19,0,2,2.64154814634078,10.6934981218784
"153","immer mehr",9,0,2,3.85558831154018,10.6915724439324
"154","findet er",5,0,2,6.15187768956313,10.6769891005085
"155","informationen über",7,0,2,4.73185326949038,10.6482796553932
"156","ins minus",5,0,2,8.53436490992456,10.647591670288
"157","joachim wille",11,0,2,9.51783476159968,10.6401919089497
"158","es schon",11,0,2,3.53860482219279,10.6318147908923
"159","beitrag wurde",5,0,2,6.56853721996385,10.622720062699
"160","finden sie",10,0,2,5.6266647295658,10.6159435001986
"161","über negative",7,0,2,4.96864279356024,10.6011648082953
"162","der gute",19,0,2,3.44772141783844,10.5810465445624
"163","auf ihrem",10,0,2,3.91530453395129,10.5510885904063
"164","über die",32,0,2,2.08861846882744,10.5510211167987
"165","journalismus zu",29,0,2,6.96704801795216,10.5475578189506
"166","deutschen institut",6,0,2,8.05437233907539,10.5250542276011
"167","einer serie",7,0,2,6.90902091068589,10.5197330310293
"168","fit-for-55-paket betrifft",5,0,2,10.421801468924,10.5177166202463
"169","im globalen",9,0,2,4.16888530712062,10.4961670157697
"170","fossilen energieerzeugung",4,0,2,9.12241366711087,10.494675846864
"171","klimafinanzierung fließen",4,0,2,9.63331790516898,10.4829523793285
"172","wenn man",7,0,2,4.25652409209831,10.4624926585409
"173","kritik leicht",4,0,2,8.99722431801938,10.4597994830715
"174","sie uns",12,0,2,3.32287495990246,10.4535150869592
"175","auch wenn",8,0,2,4.7706931571834,10.439366440573
"176","klar geworden",3,0,2,8.22571651596889,10.4348551955009
"177","vorstand beim",5,0,2,6.42897175560608,10.4302292769225
"178","darüber hinaus",4,0,2,7.7800526164528,10.4268966555264
"179","an der",28,0,2,2.21426072781169,10.4152137474555
"180","seinen anteil",3,0,2,8.39279680676953,10.4149767788252
"181","neues klimaschutzgesetz",3,0,2,7.41075157175763,10.3908823116264
"182","tut gegen",7,0,2,7.72496278144995,10.3865281592492
"183","machen wir",6,0,2,5.18408060173345,10.3862965122199
"184","dass sich",16,0,2,2.75894546841404,10.3693496405967
"185","mittwoch legt",3,0,2,7.84614827173072,10.3668479593767
"186","wissenschaftler warnen",3,0,2,8.42641341756852,10.3580134764399
"187","cent pro",8,0,2,9.54300274892283,10.3578119076029
"188","einnahmen aus",7,0,2,5.24637045872981,10.3554584790737
"189","sie sich",20,0,2,2.46486543601351,10.3525130552472
"190","ereignisse wahrscheinlicher",3,0,2,8.59349370768242,10.3469936515132
"191","wahrscheinlicher gemacht",3,0,2,8.59349370768242,10.3469936515132
"192","öffentlichen straßen",3,0,2,8.59349370768242,10.3469936515132
"193","letzten 70",4,0,2,7.68690976118816,10.3424190335983
"194","prozent liegt",5,0,2,5.36598198294427,10.3323565122566
"195","und mitglied",19,0,2,4.44878288862585,10.3284011589791
"196","verkehrspolitik ermöglichen",3,0,2,7.74603860428893,10.3253280375639
"197","mit einer",13,0,2,3.10347655132664,10.3227027111719
"198","klimaschutz nimmt",5,0,2,6.09705328605776,10.3135109126414
"199","am anfang",5,0,2,5.76191413039371,10.3089619249073
"200","matthias willenbacher",6,0,2,10.5118421049829,10.2940527043862
"201","besonders klimaschädlichen",3,0,2,8.0468451753908,10.2757944909204
"202","klimapolitik beim",5,0,2,5.06524689354134,10.2413683217059
"203","michael müller",6,0,2,10.0009378648647,10.2398971992848
"204","lange sicht",3,0,2,7.57163279731372,10.2323222851029
"205","bis 2020",6,0,2,4.75970554338124,10.2256421931658
"206","anteil daran",3,0,2,8.84483434072735,10.1909228757102
"207","heutigen mittwoch",3,0,2,8.84483434072735,10.1909228757102
"208","kommentar fast",4,0,2,5.60008920586794,10.1793157749084
"209","folge 35",4,0,2,8.46298458084062,10.179285666661
"210","einem neuen",6,0,2,4.48397379721789,10.1713873345259
"211","unter anderem",13,0,2,8.86390589309066,10.1583418844633
"212","anzeige muss",18,0,2,8.6838486480166,10.1406039649131
"213","darauf besteht",3,0,2,6.87651180984702,10.1392032454259
"214","umweltverbände fordern",3,0,2,7.42316036961703,10.1343100410374
"215","mehr tempo",6,0,2,5.22827393937829,10.1313992464684
"216","des klimawandels",11,0,2,6.21712461889271,10.1293007771575
"217","westen deutschlands",3,0,2,7.1893624851285,10.1258347147637
"218","wir haben",11,0,2,3.25158790748144,10.1233616025769
"219","bei der",28,0,2,2.13502894169467,10.1204841817946
"220","100 millionen",3,0,2,6.92104607045858,10.1179727606502
"221","diese art",6,0,2,4.64827680348521,10.1118585737878
"222","es geht",9,0,2,3.78080580819068,10.1039363095231
"223","VCD legt",3,0,2,8.29818581118278,10.0874016018083
"224","legt gemeinsam",3,0,2,8.29818581118278,10.0874016018083
"225","wahlkampf einfach",3,0,2,8.29818581118278,10.0874016018083
"226","deutsche umwelthilfe",3,0,2,7.69534245163974,10.0867842536385
"227","deutschlands katastrophe",3,0,2,7.69534245163974,10.0867842536385
"228","null emissionen",4,0,2,5.70020746446467,10.0789702709115
"229","kalenderwoche 25",3,0,2,7.12681591445313,10.0768979484736
"230","fossile wirtschaft",3,0,2,6.68540414226022,10.0596386973472
"231","verkehrswende braucht",3,0,2,6.70968454596728,10.0526559429685
"232","im verkehr",8,0,2,4.33370007270176,10.0523288352309
"233","europas wirtschaft",6,0,2,9.57338901861969,10.0494768618787
"234","europäische parlament",4,0,2,8.27485371443947,10.039228446348
"235","von ihnen",9,0,2,4.63576158118855,10.0379426634213
"236","kommission zwölf",3,0,2,7.6238572767119,10.0372296286755
"237","natürliche CO",3,0,2,7.6238572767119,10.0372296286755
"238","politische ereignisse",3,0,2,7.29389621281033,10.036328698787
"239","müssen anders",4,0,2,5.62872226271588,10.033016147891
"240","hingegen sei",3,0,2,7.06794920004899,10.0284413283398
"241","auf grundlage",12,0,2,6.08261688120616,10.0135427573184
"242","daten erfolgt",4,0,2,5.89905804229301,10.0039567561833
"243","zum klimaschutz",9,0,2,3.53007297766887,9.99316731376177
"244","deutlich erwärmt",3,0,2,8.10707815871107,9.99115557383075
"245","verarbeitung ausschließlich",3,0,2,7.55713969058051,9.98798145260815
"246","500 euro",5,0,2,7.79629402750787,9.97534812471308
"247","drei jahrzehnten",3,0,2,6.74403671503245,9.97130705644811
"248","tempo ins",3,0,2,6.53527872524927,9.96323394248393
"249","interesse an",6,0,2,5.13226966401778,9.95759197212779
"250","macht deutlich",4,0,2,5.53872154845431,9.95180147547518
"251","diese e-mail-adresse",19,0,2,8.48175606269104,9.9426078687261
"252","kalenderwoche 28",3,0,2,7.49459312127938,9.93931730145845
"253","sache klar",3,0,2,7.49459312127938,9.93931730145845
"254","hecken zwischen",3,0,2,6.95968318458466,9.93360294887001
"255","gegen den",12,0,2,3.1950292969222,9.92938824902804
"256","auf autobahnen",9,0,2,5.3464645746266,9.92269599988535
"257","bleibt etwa",3,0,2,6.49727325936642,9.91009409239327
"258","shell muss",6,0,2,6.64994775185059,9.90748181496808
"259","klimaklagen gegen",4,0,2,5.93249597151404,9.90695326138916
"260","von art",9,0,2,4.02464077183386,9.90315040585041
"261","verkehr erreicht",3,0,2,6.5801149114889,9.89423047539532
"262","zusammenhang zwischen",3,0,2,7.1267634850035,9.89407762943465
"263","30 jahren",4,0,2,5.49371768023936,9.88708001732366
"264","viele negative",4,0,2,5.49371768023936,9.88708001732366
"265","2040 soll",4,0,2,6.03914006670081,9.87596866159112
"266","erwärmung um",5,0,2,6.04189766501997,9.87016379422168
"267","tempo 30",3,0,2,6.38680628380834,9.86419463652068
"268","zusätzliche co2-senken",3,0,2,9.38202968027879,9.84606721208531
"269","dies stellt",3,0,2,7.38013034340071,9.8444031900478
"270","bleiben unberührt",3,0,2,7.8751979159385,9.84076662288035
"271","städten nichts",3,0,2,7.8751979159385,9.84076662288035
"272","gegen bundesländer",4,0,2,5.78449024179394,9.84061946024859
"273","jeder zweite",3,0,2,9.0142524926854,9.83777664110248
"274","naturstrom AG",3,0,2,9.0142524926854,9.83777664110248
"275","auf dieser",10,0,2,3.45228439645065,9.83654572983456
"276","wir uns",9,0,2,3.51293732849618,9.8329335287337
"277","e-mail-adresse ist",18,0,2,6.64548726847906,9.8321565828991
"278","vor dem",13,0,2,2.8835411452475,9.81636722536574
"279","wiwin green",3,0,2,6.32008869011722,9.81336738183992
"280","einwilligung jederzeit",3,0,2,6.48242400422751,9.80033262622014
"281","dieser beitrag",4,0,2,6.14617473196047,9.79423460145299
"282","tempo 130",3,0,2,7.80848033049414,9.79146993080384
"283","so schnell",5,0,2,5.9879899312282,9.78965906826891
"284","zur anzeige",18,0,2,8.36289288091237,9.78883421139458
"285","nordamerikas macht",4,0,2,6.66683874028937,9.77578870226802
"286","ins tempolimit",3,0,2,6.28128210055904,9.76375878840658
"287","sagt hartmut",4,0,2,7.12367861377187,9.75499382361903
"288","gegen jede",4,0,2,6.33113891713065,9.74500479203816
"289","klimakrise reden",3,0,2,6.58816637999476,9.71488126572379
"290","schon eine",10,0,2,3.30057520771773,9.71056101180678
"291","schlägt neue",4,0,2,5.9181198858098,9.70520153347641
"292","punkt gibt",4,0,2,7.07423340011387,9.69838537225417
"293","kolumnen kommentar",3,0,2,6.46297701647334,9.69709012119096
"294","zum schutz",5,0,2,5.37944346664844,9.68833413453218
"295","sind verbunden",7,0,2,6.3208901785825,9.68555463205675
"296","vor zwei",6,0,2,4.41119711721882,9.68260970484815
"297","allen bereichen",3,0,2,8.53457458924701,9.65744658554979
"298","ausbau erneuerbarer",3,0,2,8.53457458924701,9.65744658554979
"299","noch nicht",13,0,2,2.84213307446646,9.65561787031916
"300","wind aus",6,0,2,5.22280935376178,9.65137649344368
"301","eine studie",8,0,2,3.97234548924447,9.63894497620631
"302","fürs klima",5,0,2,7.47618265689473,9.62849313224262
"303","muss dazu",5,0,2,4.75395215870884,9.62533120205591
"304","klimapolitik helfen",3,0,2,6.2023163978035,9.62496105265283
"305","DIE VERARBEITUNG",4,0,2,10.1441697323257,9.62349092416089
"306","entwicklungsländern steckt",4,0,2,10.1441697323257,9.62349092416089
"307","schnellen ausstieg",4,0,2,10.1441697323257,9.62349092416089
"308","unterstützen sie",30,0,2,8.07228745408313,9.6232550087268
"309","anschließend versuchen",4,0,2,9.94347283347282,9.6094258946465
"310","extremwetter wütet",4,0,2,9.94347283347282,9.6094258946465
"311","website nutzt",4,0,2,7.78686212721985,9.60436647059256
"312","von der",44,0,2,1.56145528157289,9.5953079176771
"313","einem punkt",5,0,2,6.64934861067772,9.59289306896994
"314","extremwetterereignissen bremsen",4,0,2,10.3955103633107,9.59169557767156
"315","70 jahren",4,0,2,6.98210957648041,9.5912011034192
"316","große mengen",3,0,2,7.09907066133814,9.58302753873578
"317","ihr programm",3,0,2,7.09907066133814,9.58302753873578
"318","grundlage von",8,0,2,4.67227348457721,9.57422186893394
"319","co2-senken ausgeglichen",3,0,2,9.96986874990259,9.56811583705333
"320","impressum angegebenen",3,0,2,9.96986874990259,9.56811583705333
"321","klimaschädliche agrarförderung",3,0,2,9.96986874990259,9.56811583705333
"322","klimaklagen laschet",3,0,2,6.23613360509589,9.53926172925859
"323","globalen klimawandels",3,0,2,6.12058592084133,9.53653042475488
"324","dieses jahr",4,0,2,5.07789379693796,9.5284500666522
"325","millionen tonnen",4,0,2,9.6332654963276,9.52785862037463
"326","werden anders",5,0,2,4.89916824934625,9.52459849878155
"327","dabei wird",7,0,2,3.89920446986434,9.5220859912917
"328","einwilligung abgefragt",3,0,2,7.48111013918264,9.51663937199505
"329","das richtige",13,0,2,5.19297017347666,9.51403592322469
"330","ihre einwilligung",5,0,2,4.60443832736292,9.51125843951607
"331","erreicht seine",3,0,2,7.02054660819917,9.5037393417374
"332","endgerät gespeichert",3,0,2,8.28318153637229,9.50262018876349
"333","heiße luft",3,0,2,8.28318153637229,9.50262018876349
"334","negative reaktionen",5,0,2,9.04521674601034,9.48656659390624
"335","braucht es",6,0,2,4.69819618650383,9.47355403092933
"336","55 prozent",6,0,2,7.12734333461615,9.46992404467152
"337","sprechen unsere",3,0,2,6.98347911663891,9.46546935567968
"338","um das",17,0,2,2.43692958455906,9.45884345263089
"339","energiebranche eingesetzt",4,0,2,10.7320088019495,9.45298276295928
"340","geplanten co2-grenzausgleich",4,0,2,10.7320088019495,9.45298276295928
"341","versicherungen ausgehen",4,0,2,10.7320088019495,9.45298276295928
"342","beim ausbau",4,0,2,5.51684045960311,9.44320169319345
"343","spätestens 2040",4,0,2,9.39682430667515,9.42429728620352
"344","zur speicherung",5,0,2,4.84014371314654,9.41865760168739
"345","sich die",35,0,2,1.73173894714105,9.40639690879632
"346","dabei könnte",4,0,2,4.98367515625743,9.40133045552503
"347","direkt ihrem",3,0,2,6.3053896244174,9.40115921705154
"348","beim ziel",4,0,2,5.32573271079544,9.3708584890752
"349","ändern muss",5,0,2,6.47202399495052,9.35746815388741
"350","grad erwärmt",3,0,2,7.31037975500535,9.3548424171812
"351","sinnvoll oder",5,0,2,6.00673909506688,9.34907752780461
"352","reden diese",4,0,2,6.33577634428553,9.3488559289398
"353","woche verkehrspolitik",3,0,2,6.58526542860684,9.33719165944453
"354","noch immer",7,0,2,3.72578688093666,9.3352254275585
"355","wir stehen",6,0,2,4.3418460994194,9.33212702234223
"356","nachrichten an",8,0,2,6.74883383117646,9.32072219107334
"357","dieses ziel",3,0,2,5.89136137381608,9.31926862168052
"358","liegt hier",3,0,2,5.89136137381608,9.31926862168052
"359","das leben",10,0,2,3.91500661685539,9.30942383026098
"360","ab 2040",3,0,2,5.96883870752654,9.30195381422898
"361","ihrem browser",3,0,2,6.81629392226295,9.28671115581388
"362","neuen papier",4,0,2,7.46017707852538,9.27059233858105
"363","endlich über",5,0,2,5.13022878700377,9.268673526723
"364","dafür nötigen",3,0,2,6.33233961653567,9.26644670244926
"365","unabhängigen journalismus",58,0,2,14.3941807942201,9.25844016899735
"366","seine klimaziele",3,0,2,5.82571163575357,9.2403360801089
"367","millionen euro",3,0,2,6.06402317298847,9.23912088728982
"368","bereits deutlich",3,0,2,5.72094894012699,9.23115100314567
"369","mit ihrem",8,0,2,3.66148835817846,9.23004264060025
"370","deutschen umwelthilfe",3,0,2,6.7565222388627,9.22055364463277
"371","gute seite",3,0,2,6.7565222388627,9.22055364463277
"372","jahre alte",3,0,2,6.7565222388627,9.22055364463277
"373","europa fit",3,0,2,7.91529948851144,9.21991598801949
"374","verkehr einhalten",3,0,2,7.91529948851144,9.21991598801949
"375","energieerzeugung fordern",4,0,2,9.04532158841919,9.21750347410515
"376","wütet weltweit",4,0,2,9.04532158841919,9.21750347410515
"377","internationale energieagentur",4,0,2,9.04532158841919,9.21750347410515
"378","laut einer",4,0,2,5.45116686504294,9.19504476205857
"379","nur noch",8,0,2,3.39830745781801,9.18266612510005
"380","im jahr",8,0,2,3.56251932868761,9.16199461695874
"381","kritik an",5,0,2,5.19516345207063,9.16024782171948
"382","60 euro",3,0,2,6.70011685086192,9.15713083761579
"383","es gibt",8,0,2,3.52239474889307,9.14722913757871
"384","am mittwoch",4,0,2,6.18451654282781,9.14635612263043
"385","sagt andreas",3,0,2,6.2282449863547,9.14064035110022
"386","zeigt eine",6,0,2,4.68936183859472,9.13828643066448
"387","DSGVO dar",3,0,2,9.8928815067489,9.12793162456068
"388","verkehrsclub VCD",3,0,2,9.8928815067489,9.12793162456068
"389","ausstieg aus",8,0,2,6.60114882594124,9.124614714498
"390","regieren findet",3,0,2,10.1442221370474,9.11668876677898
"391","jetzt sogar",4,0,2,4.89917544275778,9.11645772002744
"392","sagt oliver",3,0,2,6.39532530121406,9.11527453072087
"393","climate action",3,0,2,9.69218460858263,9.10064147198365
"394","den weg",8,0,2,4.13616269343006,9.09376758251308
"395","fast 30",3,0,2,5.64596039860656,9.09367796011602
"396","so gelingt",10,0,2,7.987781548053,9.08535369815027
"397","sondern auch",6,0,2,4.14065918199556,9.08172688444449
"398","jahren jeder",3,0,2,6.17999042208025,9.0811922579192
"399","erst am",4,0,2,4.89246379100706,9.07427232391783
"400","kommenden jahre",3,0,2,6.03686334617914,9.07410998953474
"401","neuen klimaschutzgesetz",3,0,2,5.84867666993279,9.0713138885368
"402","erlebt derzeit",3,0,2,9.52510432052875,9.05612585285858
"403","2009 war",4,0,2,7.25467787452973,9.04810355996084
"404","bürgerrat klima",4,0,2,7.25467787452973,9.04810355996084
"405","diese ereignisse",5,0,2,6.24071079143667,9.04410529509796
"406","ohne dass",3,0,2,7.00786289183677,9.04379435774921
"407","betrifft fast",5,0,2,8.49835844644799,9.04081305835806
"408","davon ab",3,0,2,6.13395284362941,9.0238509220042
"409","CO2 aus",6,0,2,4.03859158202107,9.02329044311994
"410","studie sorgen",3,0,2,7.68690976118816,9.01814031354266
"411","dutzende tote",4,0,2,11.2428606270465,9.01426676595219
"412","nordrhein-westfälische landesregierung",4,0,2,11.2428606270465,9.01426676595219
"413","40 prozent",5,0,2,6.94778908718876,9.01272028205353
"414","direkte demokratie",3,0,2,10.4807205749996,9.0123367892636
"415","dynamik entwickelt",3,0,2,10.4807205749996,9.0123367892636
"416","engagierte verkehrsclub",3,0,2,10.4807205749996,9.0123367892636
"417","lebensqualität gewinnen",3,0,2,10.4807205749996,9.0123367892636
"418","mitglieder unseres",3,0,2,10.4807205749996,9.0123367892636
"419","jede logik",3,0,2,9.38197727281072,9.0039144411201
"420","pariser klimavertrag",3,0,2,9.38197727281072,9.0039144411201
"421","polizei nordrhein-westfalen",4,0,2,8.73010948705065,8.99023298426906
"422","beispiel dafür",3,0,2,5.55758909674388,8.98168667691076
"423","b DSGVO",3,0,2,7.64687820944419,8.98107436125385
"424","weniger CO2",3,0,2,5.46579925921457,8.95453542967041
"425","zwei dinge",5,0,2,8.39819632412613,8.95119985747881
"426","dröge kommentar",3,0,2,9.25678792509268,8.94864794987973
"427","werden können",7,0,2,3.53061659685804,8.94541993747021
"428","entsprechende einwilligung",3,0,2,7.60838571079876,8.9450001244081
"429","20 jahren",3,0,2,5.82162079493705,8.93108344532038
"430","klimareporter °",94,0,2,12.8182385531019,8.92679513613893
"431","wie ernst",5,0,2,5.21029298486063,8.91738660736299
"432","als andere",6,0,2,3.92305821125087,8.91113862324516
"433","muss anschließend",4,0,2,6.00925981340893,8.90709579636168
"434","klimaneutral werden",6,0,2,5.18660493926232,8.89910715969911
"435","fünf jahren",3,0,2,5.71036892343696,8.8909347529458
"436","eines internationalen",3,0,2,5.40223338828322,8.87445813237312
